owner,check_1,check_2,filename,title,author_surname,author_givenname,year,birth_year,genre,form,country,wordcount,language,pov,gender,horror,detective,adaptation,downloads,source_url,age,dScience
sa2233,rb725,cst68,The_Man.txt,The Man,Stoker,Bram,1905,1847,"Horror, gothic, romance",novel,gb,112112,en,first,male,1,0,0,107,https://dev.gutenberg.org/ebooks/2520,58,0
hs932,rrs232,aca76,T-Twain-Adventures-1876_ed.txt,The Adventures of Tom Sawyer,Twain,Mark,1876,1835,"Bildungsroman, picaresque novel",novel,us,70770,en,third,male,0,0,0,18105,http://www.gutenberg.org/ebooks/74,41,0
aml449,rb725,kjh233,Tom_Sawyer_Detective.txt,"Tom Sawyer, Detective",Twain,Mark,1896,1835,"Detective, mystery",novel,us,23029,en,first,male,0,1,1,174,http://www.gutenberg.org/files/93/93-0.txt,61,0
ay329,xw568,jjh275,the_clue_of_the_twist_candle.txt,The Clue of the Twisted Candle,Wallace,Edgar,1918,1875,"Detective, mystery",novel,gb,57796,en,third,male,0,1,1,182,https://dev.gutenberg.org/ebooks/2688,43,0
qh75,hjg43,gmv34,the_angel_of_terror.txt,The Angel of Terror,Wallace,Edgar,1922,1875,"detective, mystery",novel,gb,62982,en,third,male,0,1,1,175,http://www.gutenberg.org/cache/epub/21530/pg21530.txt,47,0
tp294,cjw322,,the_dark_other.txt,The Dark Other,Weinbaum,Stanley,1950,1902,horror,novel,us,49983,en,third,male,1,0,0,85,http://www.gutenberg.org/ebooks/50561,48,0
yz549,gmv34,,the_clue_of_the_gold_coin,The Clue of the Gold Coin,Wells,Helen,1958,1910,"Detective, mystery",novel,us,37070,en,third,female,0,1,0,37,http://www.gutenberg.org/ebooks/57100,48,0
jjh275,az346,rb725,war_of_the_worlds.txt,The War of the Worlds,Wells,Herbert George,1898,1866,Science fiction,novel,us,59867,en,first,male,0,0,1,9240,https://www.gutenberg.org/ebooks/36,32,1
yz549,gmv34,jz543,the_island_of_doctor_moreau.txt,The Island of Doctor Moreau,Wells,Herbert George,1896,1866,Science Fiction,novel,gb,43611,en,first,male,0,0,1,3186,http://www.gutenberg.org/ebooks/159,30,1
awi3,jz543,tp294,jack_the_fire_dog.txt,Jack the Fire Dog,Wesselhoeft,Lily F.,1903,1840,Fiction,novel,us,48469,en,third,female,0,0,0,11,http://www.gutenberg.org/ebooks/48861,63,0
mw966,maa343,lm638,A-Wharton-Age_Innocence-1920-F.txt,The Age of Innocence,Wharton,Edith,1920,1862,"romance, satire, literature",novel,us,101254,en,third,female,0,0,0,,,58,0
yy545,aca76,jmy53,house_of_mirth.txt,The House of Mirth,Wharton,Edith,1905,1862,Fiction,novel,us,130511,en,third,female,0,0,1,2066,https://www.gutenberg.org/ebooks/284,43,0
kaz44,yz549,,varney_the_vampire.txt,Varney the Vampire,Prest,Thomas Peckett,1845,1810,"Fiction,Horror",novel,gb,667000,en,third,male,1,0,0,915,http://www.gutenberg.org/ebooks/14833,35,0
aca76,beg57,hh695,house_of_vampire.txt,The House of the Vampire,Viereck,George Sylvester,1907,1884,"Fiction, Horror, Fantasy",novel,us,26828,en,third,male,1,0,0,138,http://www.gutenberg.org/ebooks/17144,23,0
aca76,bp322,kaz44,ethan_frome.txt,Ethan Frome,Wharton,Edith,1911,1862,"Fiction, Horror, Fantasy, Domestic",novel,us,34707,en,third,female,1,0,1,6063,http://www.gutenberg.org/ebooks/4517,49,0
beg57,bp322,kaz44,TheirEyesWereWatchingGod-HurstonZoraNeale .txt,Their Eyes Were Watching God,Hurston,Zora Neale,1937,1891,Fiction,novel,us,75952,en,third,female,0,0,1,,https://b-ok.cc/book/1622725/36332e,46,0
beg57,ijg24,,TheMist-KingStephen.txt,The Mist,King,Stephen,1980,1947,"Fiction, Psychological Horror",novel,us,61568,en,first,male,1,0,1,,https://b-ok.cc/book/1661874/f52256,33,0
kaz44,yz549,cst68,my_antonia.txt,My Antonia,Cathers,Willa,1918,1873,"Fiction, Historical Fiction",novel,us,81262,en,first,female,0,0,1,2577,http://www.gutenberg.org/ebooks/242,45,0
ads289,mhg86,smh367,Yonge-Fearless.txt,The Little Duke: Richard the Fearless,Yonge,Charlotte M.,1864,1823,Historical Fiction,novel,us,40805,en,third,male,0,0,0,262,http://www.gutenberg.org/ebooks/3048,41,0
mhg86,awi3,,trents-last-case.txt,Trent's Last Case: The Woman in Black,Bentley,Edmund Clerihew,1913,1875,"Detective, Mystery",novel,gb,75809,en,third,male,0,1,1,355,http://www.gutenberg.org/ebooks/2568,38,0
cst68,mhg86,,the_american_diary_of_a_japanese_girl.txt,The American Diary of a Japanese Girl,Noguchi,Yone,1902,1875,Fiction,novel,us,47845,en,first,female,0,0,0,1981,https://www.gutenberg.org/ebooks/63256,27,0
mhg86,ijg24,awi3,shirley.txt,Shirley,Bronte,Charlotte,1849,1816,Fiction,novel,gb,219307,en,third,female,0,0,1,559,http://www.gutenberg.org/ebooks/30486,33,0
gmv34,,,behind_green_door.txt,Behind the Green Door,Mildred,Wirt,1959,1905,"Fiction, Mystery",novel,us,42627,en,third,female,0,1,0,104,http://www.gutenberg.org/ebooks/34592,54,0
irf27,byw4,krh57,the_wendigo.txt,The Wendigo,Blackwood,Algernon,1910,1869,Horror,novella,gb,18778,en,third,male,1,0,0,1247,http://www.gutenberg.org/ebooks/10897,41,0
asc334,,,the_middle_temple_murder.txt,The Middle Temple Murder,Fletcher,Joseph Smith,1919,1863,"Detective, Mystery",novel,gb,72041,en,third,male,0,1,0,262,http://www.gutenberg.org/ebooks/10373,56,0
asc334,as2778,,the_elusive_pimpernel.txt,The Elusive Pimpernel,Orczy,Baroness Emmuska,1908,1865,"Fiction, Adventure",novel,gb,83310,en,third,female,0,0,1,170,http://www.gutenberg.org/ebooks/2785,43,0
krh57,as2778,,the_tennant_of_wildfell_hall.txt,The Tennant of Wildfell Hall,Bronte,Anne,1848,1820,Domestic Fiction,novel,gb,166395,en,first,female,0,0,1,1176,http://www.gutenberg.org/ebooks/969,28,0
as2778,,,plague_ship.txt,Plague Ship,Norton,Andre,1956,1912,"Science Fiction, Speculative fiction",novel,us,60020,en,third,female,0,0,0,210,https://www.gutenberg.org/ebooks/16921,44,1
cjw322,,,the_red_house_mystery.txt,The Red House Mystery,Milne,A.A.,1922,1882,"Detective, Mystery",novel,gb,60393,en,third,male,0,1,0,813,http://www.gutenberg.org/ebooks/1872,40,0
cjw322,,,unknown_to_history.txt,Unknown to History: A Story of the Captivity of Mary of Scotland,Yonge,Charlotte M.,1882,1823,"Biographical Fiction, Historical Fiction",novel,gb,167040,en,third,female,0,0,0,62,http://www.gutenberg.org/ebooks/4596,59,0
