owner,check_1,check_2,filename,title,author_surname,author_givenname,year,birth_year,genre,form,country,wordcount,language,pov,gender,horror,detective,adaptation,downloads,source_url,age,dScience
jcm497,at544,ds895,8486.txt.utf-8.txt,Ghost Stories of an Antiquary,James,Montague,1904,1862,horror,novel,gb,45267,en,third,male,1,0,0,924,http://www.gutenberg.org/ebooks/8486,42,0
tcc78,kjk248,ks783,the_country_of_the_pointed_firs.txt,The Country of the Pointed Firs,Jewett,Sarah Orne,1896,1849,"fiction, pastoral",novel,us,43916,en,first,female,0,0,0,563,http://www.gutenberg.org/ebooks/367,47,0
sml437,beg57,jz669,the_metamorphosis_franz_kafka.txt,The Metamorphosis,Kafka,Franz,1915,1883,"fiction, horror, absurdism",novella,cz,22010,de,third,male,1,0,0,24571,http://www.gutenberg.org/ebooks/5200,32,0
rb725,cf446,,JUNGLE_BOOK.txt,THE JUNGLE BOOK,KIPLING,RUDYARD,1894,1865,FICTION,novel,us,54155,en,first,male,0,0,1,1129,http://www.gutenberg.org/ebooks/35997,29,0
hh695,sa2233,awi3,Mizora_A_Prophecy.txt,Mizora: A Prophecy,Lane,Mary E. Bradley,1890,1844,"Science fiction, feminist fiction, utopian fiction",novel,us,53945,en,first,female,0,0,0,69,http://www.gutenberg.org/ebooks/24750,46,1
em682,db758,yz549,The_Monk_Lewis,The Monk: A Romance,Lewis,Matthew Gregory,1796,1775,"Gothic, horror",novel,gb,136836,en,third,male,1,0,1,1375,http://www.gutenberg.org/ebooks/601,21,0
bp322,krh57,,The-Hemlock-Avenue-Mystery.txt,The Hemlock Avenue Mystery,Long,Lily,1907,1862,"Mystery, Fiction",novel,us,59237,en,third,female,0,0,0,11,https://www.gutenberg.org/ebooks/56780,45,0
jh976,aml449,rb725,The_Colors_of_Space.txt,The Colors of Space,Marion,Bradley,1963,1930,Science Fiction,novella,us,44814,en,third,female,0,0,0,196,http://www.gutenberg.org/cache/epub/20796/pg20796.txt,33,1
cf446,ks2373,az346,Moby_Dick_Melville.txt,"Moby Dick; Or, The Whale",Melville,Herman,1851,1819,adventure,novel,us,209117,en,first,male,0,0,0,22631,https://www.gutenberg.org/ebooks/2701,32,0
ar699,aj445,yw458,Anne_of_Green_Gables.txt,Anne of Green Gables,Montgomery,Lucy Maud,1908,1874,"novel, fiction, children's literature, bildungsroman",novel,ca,102277,en,third,female,0,0,1,10253,http://www.gutenberg.org/files/45/45-0.txt,34,0
